term,definition
globin,haem-containing globular protein that is a constituent of haemoglobin.
globulins,"heterogeneous group of plasma proteins that includes transport proteins, clotting factors, immune proteins, and others."
globus pallidus,nuclei deep in the cerebrum that are part of the basal nuclei and can be divided into the internal and external segments.
glomerular filtration rate (GFR),rate of renal filtration.
glomerulus,tuft of capillaries surrounded by Bowman’s capsule; filters the blood based on size.
glossopharyngeal nerve,"ninth cranial nerve; responsible for contraction of muscles in the tongue and throat and for part of the sense of taste, as well as causing saliva production."
glottis,opening between the vocal folds through which air passes when producing speech.
glucagon,"pancreatic hormone that stimulates the catabolism of glycogen to glucose, thereby increasing blood glucose levels."
glucocorticoids,hormones produced by the zona fasciculata of the adrenal cortex that influence glucose metabolism.
gluteal tuberosity,"roughened area on the posterior side of the proximal femur, extending inferiorly from the base of the greater trochanter."
glycocalyx,coating of sugar molecules that surrounds the cell membrane.
glycogen –,storage carbohydrate in animals.
glycolysis,anaerobic breakdown of glucose to ATP.
glycosidic bond –,bond formed by a dehydration reaction between two monosaccharides with eliminating a water molecule.
glycoprotein,protein that has one or more carbohydrates attached.
glycosuria,presence of glucose in the urine; caused by high blood glucose levels that exceed the ability of the kidneys to reabsorb the glucose; usually the result of untreated or poorly controlled diabetes mellitus.
goblet cell,unicellular gland found in columnar epithelium that secretes mucous.
goitre,enlargement of the thyroid gland either as a result of iodine deficiency or hyperthyroidism.
Golgi apparatus,"cellular organelle formed by a series of flattened, membrane-bound sacs that functions in protein modification, tagging, packaging, and transport."
gomphosis,type of fibrous joint in which the root of a tooth is anchored into its bony jaw socket by strong periodontal ligaments.
gonadal artery,"branch of the abdominal aorta; supplies blood to the gonads or reproductive organs; also described as ovarian arteries or testicular arteries, depending upon the sex of the individual."
gonadal vein,"generic term for a vein draining a reproductive organ; may be either an ovarian vein or a testicular vein, depending on the sex of the individual."
gonadotropins,hormones that regulate the function of the gonads.
gonadotropin-releasing hormone (GnRH),hormone released by the hypothalamus that regulates the production of follicle-stimulating hormone and luteinizing hormone from the pituitary gland.
gonads,reproductive organs (testes in men and ovaries in women) that produce gametes and reproductive hormones.
G protein,guanosine triphosphate (GTP) hydrolase that physically moves from the receptor protein to the effector protein to activate the latter.
graded muscle response,modification of contraction strength.
graded potential,"change in the membrane potential that varies in size, depending on the size of the stimulus that elicits it."
graft-versus-host disease,in bone marrow transplants; occurs when the transplanted cells mount an immune response against the recipient.
granular leukocytes,"leukocytes with abundant granules in their cytoplasm; specifically, neutrophils, eosinophils, and basophils."
granulosa cells,supportive cells in the ovarian follicle that produce oestrogen.
granzyme,apoptosis-inducing substance contained in granules of NK cells and cytotoxic T cells.
great cardiac vein,vessel that follows the interventricular sulcus on the anterior surface of the heart and flows along the coronary sulcus into the coronary sinus on the posterior surface; parallels the anterior interventricular artery and drains the areas supplied by this vessel.
great cerebral vein,receives most of the smaller vessels from the inferior cerebral veins and leads to the straight sinus.
greater pelvis,"(also, greater pelvic cavity or false pelvis) broad space above the pelvic brim defined laterally by the fan-like portion of the upper ilium."
